ResponseID,StartDate,EndDate,age,gender,education,status,state,municipality,purchase_date,quality,bad_quantity,bad_value,good_quantity,good_value,relationship,experience,frequency,average_amount
R_0dKLm2100OFHqFj,21/03/19 21:02,21/03/19 21:08,29,Men,Bachelor,Upper middle class,Chiapas,Tuxtla Gutiérrez 07101,18-mar-19,Good,,,250.0,7000.0,Stranger,18.0,30.0,125.0
R_0fHuy5qJT6INsGd,20/02/19 19:22,20/02/19 19:27,24,Men,Bachelor,Upper middle class,Puebla,San Andrés Cholula 21119,25-sep-18,Bad,10.0,100.0,,,Acquaintance,21.0,120.0,10.0
R_0iEQ6T5UhBjDyGl,30/08/19 16:39,30/08/19 16:45,37,Men,Bachelor,Middle class,Puebla,San Andrés Cholula 21119,16aug2019,Bad,300.0,200.0,,,Acquaintance,18.0,30.0,300.0
R_0jFXQSTIBD0xMGt,07/05/19 20:27,07/05/19 20:29,36,Men,High school,Middle class,,,,,,,,,,,,
R_0ojPfEaocbGnbUt,21/03/19 19:17,21/03/19 19:18,5,,,,,,,,,,,,,,,
R_0olW9J0AinG42tP,19/02/19 19:07,19/02/19 19:19,25,Men,High school,Lower middle class,Ciudad de México,Iztapalapa 09007,01-feb-19,Good,,,,,,,,
R_0onilP5TfVM3qZH,26/02/19 16:15,26/02/19 16:17,31,Men,Bachelor,Middle class,Ciudad de México,Cuauhtémoc 09015,22-feb-19,Good,,,28.0,300.0,Stranger,16.0,8.0,28.0
R_0plpSjKkmmHMscp,25/03/19 10:36,25/03/19 10:39,39,Men,Graduate,Upper middle class,Coahuila,Acuña 05002,15-mar-19,Good,,,1.0,70.0,Acquaintance,35.0,7.0,10.0
R_0qFj0fHwhEZgbvz,29/08/19 18:21,29/08/19 18:24,30,Men,Bachelor,Upper middle class,Sonora,Navojoa 26042,22aug2019,Good,,,30.0,1800.0,Friend,17.0,30.0,30.0
R_0qWLhn0GbQbKIWB,22/02/19 12:19,22/02/19 12:24,20,Men,High school,Middle class,Yucatán,Valladolid 31102,18-feb-19,Good,,,1.7,50.0,Friend,14.0,3.0,1.7
R_0uG4bcVTlC0jZkJ,02/07/19 15:50,02/07/19 15:52,19,Men,High school,Middle class,San Luis Potosí,San Luis Potosí 24028,,,,,,,,,,
R_0wddlROfQ8oc1QB,01/03/19 11:35,01/03/19 11:37,19,Other,Bachelor,Middle class,Chiapas,Tapachula 07089,,,,,,,,,,
R_0xHuzXaEO7ZHiNz,01/03/19 13:05,01/03/19 13:16,28,Men,High school,Lower middle class,México,Tlalnepantla de Baz 15104,17-feb-19,Good,,,5.0,50.0,Acquaintance,21.0,1.0,5.0
R_10BIorEzo6DLZnq,01/07/19 23:15,01/07/19 23:19,35,Men,Graduate,Lower middle class,Puebla,Puebla 21114,26-jun-19,Good,,,14.0,350.0,Stranger,20.0,10.0,14.0
R_10CsYcuARMohaSd,01/07/19 21:47,01/07/19 21:49,20,Men,High school,Middle class,Hidalgo,San Agustín Tlaxiaca 13052,,,,,,,,,,
R_10DjTpouwI4dISY,28/03/19 01:21,28/03/19 01:22,28,Men,Bachelor,Middle class,,,,,,,,,,,,
R_10HGkiYbGooJ3gX,01/07/19 17:19,01/07/19 17:21,35,Men,Graduate,Upper middle class,Ciudad de México,Cuauhtémoc 09015,26-jun-19,Good,,,28.0,1000.0,Acquaintance,19.0,30.0,28.0
R_10I8unC4eeMXJIE,23/04/19 18:47,23/04/19 18:49,30,Men,Bachelor,Upper middle class,Ciudad de México,Benito Juárez 09014,20apr2019,Good,,,10.0,600.0,Stranger,23.0,30.0,10.0
R_10JE2f4rb6ASfij,21/02/19 03:18,21/02/19 03:23,27,Men,Middle school,Middle class,Yucatán,Mérida 31050,20-feb-19,Good,,,14.0,500.0,Friend,19.0,8.0,14.0
R_10JK3aaf87CCN5X,27/03/19 18:48,27/03/19 18:51,36,Men,High school,Middle class,Ciudad de México,Azcapotzalco 09002,15-mar-19,Bad,3.0,50.0,,,Acquaintance,16.0,15.0,5.0
R_10N8r5ITm5Uo2BO,26/03/19 04:45,26/03/19 04:50,20,Men,High school,Middle class,México,Atizapán de Zaragoza 15013,01-mar-19,Good,,,2.0,100.0,Acquaintance,16.0,7.0,4.0
R_10NKNwOCUcbeWje,21/02/19 13:15,21/02/19 13:17,26,Men,Graduate,Upper middle class,Nuevo León,Monterrey 19039,21-feb-19,Good,,,3.0,600.0,Stranger,18.0,90.0,3.0
R_10NKjpUD3Q9ngbN,01/07/19 23:24,01/07/19 23:28,29,Men,Bachelor,Upper middle class,Ciudad de México,Cuauhtémoc 09015,26-jun-19,Good,,,14.0,1900.0,Stranger,17.0,7.0,14.0
R_10Na2wFTrG9U81O,30/06/19 10:55,30/06/19 11:00,20,Men,High school,Middle class,Querétaro,Tequisquiapan 22017,23-jun-19,Good,,,250.0,400.0,Friend,16.0,8.0,250.0
R_10OTePg5JMNTIZc,28/03/19 00:20,28/03/19 00:27,18,Men,High school,Middle class,México,Texcoco 15099,25-mar-19,Good,,,125.0,700.0,Acquaintance,13.0,7.0,125.0
R_10Ob7ag88pjP5MI,20/02/19 00:36,20/02/19 00:37,20,Women,High school,Upper middle class,Ciudad de México,Miguel Hidalgo 09016,,,,,,,,,,
R_10OfqS4t0HMTJc9,26/02/19 20:30,26/02/19 20:34,22,Men,High school,Lower middle class,Puebla,Puebla 21114,01-feb-19,Bad,10.0,50.0,,,Stranger,19.0,30.0,10.0
R_10P2KKXquXrN0ri,21/03/19 20:18,21/03/19 20:22,19,Men,Bachelor,Lower middle class,San Luis Potosí,San Luis Potosí 24028,20-mar-19,Bad,,,,,,,,
R_10PhySXjwSvyovg,22/03/19 16:23,22/03/19 16:28,26,Women,Bachelor,Upper middle class,Guanajuato,Irapuato 11017,,Good,,,,,,,,
R_10SPztQZOs8xwGM,21/03/19 22:37,21/03/19 22:43,18,Men,High school,Middle class,Puebla,Xicotepec 21197,16-mar-19,Good,,,10.0,500.0,Friend,15.0,15.0,10.0
R_10T6Fum8WYGTyqk,28/08/19 02:58,28/08/19 03:02,27,Men,High school,Middle class,Puebla,Atlixco 21019,15aug2019,Good,,,30.0,100.0,Acquaintance,14.0,60.0,30.0
R_10TunV7KmO0yNcp,01/07/19 19:43,01/07/19 19:47,36,Men,Graduate,Upper middle class,Ciudad de México,Coyoacán 09003,29-jun-19,Good,,,50.0,4000.0,Friend,20.0,30.0,25.0
R_10TvjsFAKusQF7O,19/02/19 18:09,19/02/19 18:11,27,Men,Bachelor,Upper middle class,Ciudad de México,Tlalpan 09012,14-feb-19,Good,,,14.0,1950.0,Stranger,23.0,3.0,14.0
R_10U9mzaoYSEqQcY,22/03/19 01:37,22/03/19 03:13,31,Men,Bachelor,Middle class,Jalisco,Guadalajara 14039,01-mar-19,Good,,,28.35,500.0,Stranger,14.0,60.0,28.35
R_10UCOkt9KTJ1ADz,22/03/19 01:41,22/03/19 01:41,16,,,,,,,,,,,,,,,
R_10UVRJDyyoHI2nM,21/03/19 18:52,21/03/19 18:55,30,Men,Graduate,Upper class,Baja California,Mexicali 02002,21-mar-19,Good,,,28.0,650.0,Acquaintance,17.0,2.0,15.0
R_10Vg4ZgVeA8YuJI,28/02/19 08:41,28/02/19 08:45,22,Men,Bachelor,Upper class,Ciudad de México,Benito Juárez 09014,22jan2019,Good,,,28.0,1400.0,Stranger,19.0,90.0,28.0
R_10YuBva2TEyryZa,23/03/19 12:07,23/03/19 12:08,19,,,,,,,,,,,,,,,
R_10ZaXvrYJHnod3R,20/02/19 05:23,20/02/19 05:25,22,Men,Bachelor,Upper middle class,Veracruz,Boca del Río 30028,,,,,,,,,,
R_10o87pgHJZFa76K,27/02/19 03:17,27/02/19 03:22,20,Women,High school,Middle class,Ciudad de México,Coyoacán 09003,10jan2019,Good,,,5.0,50.0,Stranger,17.0,31.0,13.0
R_10ocBDuENKnEwj6,01/09/19 22:10,01/09/19 22:13,29,Women,Bachelor,Upper middle class,Ciudad de México,Benito Juárez 09014,28aug2019,Bad,,,,,,,,
R_10pkOyz9bF6tLFm,21/03/19 19:17,21/03/19 19:22,24,Men,High school,Lower middle class,Quintana Roo,Benito Juárez 23005,31-oct-18,Good,,,28.0,500.0,Stranger,20.0,90.0,28.0
R_10qO9ekhl9hEHZ6,13/05/19 20:26,13/05/19 20:27,16,,,,,,,,,,,,,,,
R_10u4dvLEfCPYvvm,22/08/19 23:16,22/08/19 23:19,18,Men,High school,Lower middle class,Puebla,Acajete 21001,,,,,,,,,,
R_10ufPPtpJK2wVqx,19/02/19 17:34,19/02/19 17:37,28,Men,High school,Middle class,Sinaloa,Culiacán 25006,18-feb-19,Good,,,80.0,50.0,Friend,19.0,10.0,80.0
R_10v1LuSCnZHXpkb,23/03/19 12:31,23/03/19 12:35,19,Men,High school,Middle class,Ciudad de México,Álvaro Obregón 09010,08-mar-19,Good,,,25.0,250.0,Stranger,16.0,10.0,10.0
R_10wVliXvy9z6zy2,19/02/19 18:00,19/02/19 18:08,23,Other,Bachelor,Lower middle class,Veracruz,Xalapa 30087,16-feb-19,Good,,,10.0,100.0,Stranger,19.0,3.0,28.0
R_10xG6KyAIAQ7eAq,25/03/19 16:52,25/03/19 16:54,25,Men,Bachelor,Middle class,Jalisco,Zapopan 14120,18-mar-19,Good,,,14.0,1200.0,Acquaintance,15.0,7.0,14.0
R_10xec5g1xs0STMq,26/02/19 14:05,26/02/19 14:10,21,Men,Bachelor,Lower middle class,Ciudad de México,Coyoacán 09003,22-feb-19,Good,,,10.0,400.0,Acquaintance,14.0,14.0,10.0
R_10xvF3BjhNF4n90,28/06/19 14:53,28/06/19 14:56,42,Women,Bachelor,Middle class,Ciudad de México,Álvaro Obregón 09010,14-jun-19,Good,,,20.0,1000.0,Acquaintance,22.0,30.0,20.0
R_110ACAlOQwNa0ea,21/03/19 22:26,21/03/19 22:30,25,Men,Bachelor,Middle class,Tabasco,Tenosique 27017,19-mar-19,Bad,5.0,50.0,,,Stranger,15.0,3.0,4.0
R_110CCpLjQqSbAkb,19/02/19 17:33,19/02/19 17:35,21,Men,Bachelor,Upper middle class,Veracruz,Minatitlán 30108,,,,,,,,,,
R_110YzLu1ujHyaWS,20/02/19 14:25,20/02/19 14:33,23,Men,High school,Lower middle class,México,Naucalpan de Juárez 15057,18-feb-19,Good,,,,,,,,
R_115DFhDjziUPyvM,16/05/19 02:32,16/05/19 02:35,22,Men,Middle school,Upper middle class,Ciudad de México,Cuauhtémoc 09015,12-may-19,Bad,7.0,50.0,,,Stranger,14.0,7.0,5.0
R_1177TjA6w0oXBBy,27/08/19 00:38,27/08/19 00:42,24,Men,Bachelor,Middle class,México,Ixtapaluca 15039,,,,,,,,,,
R_1179LFm9IKoFbPk,22/03/19 23:45,22/03/19 23:47,27,Men,High school,Middle class,Ciudad de México,Tlalpan 09012,14-mar-19,Good,,,6.0,50.0,Stranger,15.0,7.0,6.0
R_117t7gTi3YaqKSg,22/03/19 15:16,22/03/19 15:19,22,Women,High school,Middle class,Ciudad de México,Benito Juárez 09014,08-mar-19,Good,,,26.0,1000.0,Stranger,19.0,15.0,26.0
R_11X7hyIqIurhGcd,23/03/19 14:18,23/03/19 14:22,27,Men,Bachelor,Upper middle class,Coahuila,Saltillo 05030,21-mar-19,Good,,,24.0,500.0,Stranger,18.0,8.0,20.0
R_11XhBaVJUEEXjWG,22/03/19 16:32,22/03/19 16:38,26,Women,Bachelor,Upper middle class,Guanajuato,Irapuato 11017,,Good,,,28.0,700.0,Stranger,21.0,150.0,10.0
R_11XjprHvh0C6JEo,01/09/19 00:46,01/09/19 00:49,21,Women,High school,Lower middle class,Ciudad de México,Coyoacán 09003,,,,,,,,,,
R_11YrCIrxJFeFezb,05/03/19 18:45,05/03/19 18:49,31,Men,Bachelor,Middle class,Sonora,Navojoa 26042,01-mar-19,Bad,20.0,20.0,,,Stranger,17.0,20.0,20.0
R_11ZVVF0l2TNXBFY,02/07/19 02:02,02/07/19 02:03,17,,,,,,,,,,,,,,,
R_11ZrVhOKzrX6h0v,11/04/19 01:32,11/04/19 01:33,45,Men,Bachelor,Upper middle class,Ciudad de México,Benito Juárez 09014,25-feb-19,Good,,,,,,,,
R_11amRewsuO53Xvn,09/06/19 16:26,09/06/19 16:32,30,Men,Graduate,Middle class,Ciudad de México,Coyoacán 09003,05-jun-19,Bad,50.0,200.0,,,Stranger,20.0,200.0,200.0
R_11arDtmwcIaiAaL,21/03/19 18:46,21/03/19 18:50,29,Men,Bachelor,Upper middle class,Veracruz,Xalapa 30087,05-mar-19,Good,,,28.0,250.0,Stranger,18.0,30.0,28.0
R_11bCByjB3GeVXmp,19/02/19 17:29,19/02/19 17:35,22,Men,Bachelor,Middle class,Veracruz,Veracruz 30193,18-feb-19,Bad,125.0,1000.0,,,Friend,16.0,30.0,28.0
R_11bzGuznCGRHTXv,29/03/19 16:43,29/03/19 16:48,19,Men,High school,Middle class,San Luis Potosí,San Luis Potosí 24028,15jan2019,Good,,,3.0,200.0,Stranger,19.0,45.0,4.0
R_11creo4IsXjD6le,19/02/19 18:58,19/02/19 18:59,30,Men,,,,,,,,,,,,,,
R_11d3qDXextQ5dKe,28/03/19 18:54,28/03/19 18:58,26,Women,Bachelor,Upper middle class,Sonora,Hermosillo 26030,10-mar-19,Bad,100.0,100.0,,,Stranger,19.0,60.0,100.0
R_11dOrGMb7Y4DEVG,20/02/19 19:15,20/02/19 19:16,24,Men,Bachelor,Middle class,Baja California,Ensenada 02001,13-feb-19,Good,,,,,,,,
R_11i8eSnshQKfoEf,19/02/19 15:35,19/02/19 15:50,35,Men,Graduate,Middle class,Hidalgo,Pachuca de Soto 13048,18-feb-19,Good,,,7.0,100.0,Acquaintance,13.0,8.0,7.0
R_11iTkVr898IhjE5,20/02/19 17:23,20/02/19 17:25,27,Women,Bachelor,Middle class,Aguascalientes,Aguascalientes 01001,01-feb-19,Good,,,28.0,350.0,Stranger,16.0,30.0,28.0
R_11jEmbj6HYZedcZ,26/08/19 21:10,26/08/19 21:13,24,Women,Bachelor,Middle class,Quintana Roo,Solidaridad 23008,,Bad,10.0,250.0,,,Stranger,19.0,7.0,10.0
R_11jYGSCAiS2uqTh,28/03/19 14:15,28/03/19 14:19,18,Men,High school,Middle class,Sinaloa,Culiacán 25006,22-mar-19,Good,,,1.0,60.0,Stranger,17.0,20.0,2.0
R_11jcFomJBsegpuJ,30/08/19 17:30,30/08/19 17:33,28,Men,Bachelor,Middle class,Ciudad de México,Cuauhtémoc 09015,24aug2019,Bad,10.0,100.0,,,Stranger,16.0,15.0,10.0
R_123VixRIC7x5Naj,22/02/19 17:13,22/02/19 17:15,31,Men,Graduate,Middle class,Jalisco,Guadalajara 14039,08-feb-19,Good,,,28.3,700.0,Stranger,30.0,15.0,28.3
R_123bfQJdaX7n58N,03/09/19 20:17,03/09/19 20:22,24,Men,High school,Middle class,Jalisco,Zapopan 14120,03-sep-19,Good,,,3.5,500.0,Friend,15.0,5.0,14.0
R_124545kDrqCeOtd,01/07/19 22:47,01/07/19 22:51,34,Men,Bachelor,Lower middle class,Ciudad de México,Azcapotzalco 09002,,Good,,,5.0,100.0,Stranger,17.0,30.0,
R_125CDwOWQkNQ87X,19/02/19 18:35,19/02/19 18:36,35,Men,Bachelor,Upper middle class,,,,,,,,,,,,
R_125XgcFMBbbxBMA,10/05/19 16:45,10/05/19 16:46,33,Men,Bachelor,Upper middle class,Ciudad de México,Miguel Hidalgo 09016,,,,,,,,,,
R_126daKOt9mnEW12,19/02/19 18:13,19/02/19 18:16,18,Men,High school,Upper middle class,Querétaro,Querétaro 22014,01-feb-19,Good,,,14.0,600.0,Stranger,16.0,15.0,12.0
R_128U91bEemztOvm,19/02/19 17:04,19/02/19 17:07,24,Men,Bachelor,,Ciudad de México,Cuajimalpa de Morelos 09004,02-feb-19,Good,,,14.0,1800.0,Stranger,19.0,21.0,14.0
R_129FM1XSlAxK7kc,24/03/19 00:25,24/03/19 00:31,24,Men,Bachelor,Lower middle class,México,Ixtapaluca 15039,23-mar-19,Good,,,2.0,50.0,Acquaintance,13.0,15.0,2.0
R_12D1WtuAbKyTvFi,19/02/19 17:25,19/02/19 17:29,23,Men,High school,Upper middle class,Yucatán,Mérida 31050,14-feb-19,Good,,,1.5,100.0,Friend,17.0,2.0,2.0
R_12DbInjCBUL48SE,11/04/19 22:39,11/04/19 22:42,24,,,,,,,,,,,,,,,
R_12EXG07C9bOOyOH,20/02/19 13:08,20/02/19 13:10,22,Men,High school,Upper middle class,Ciudad de México,Coyoacán 09003,25jan2019,Good,,,14.0,600.0,Stranger,17.0,30.0,20.0
R_12EitSMF1kxvNSn,21/02/19 03:04,21/02/19 03:13,25,Men,Middle school,Middle class,México,Ecatepec de Morelos 15033,20-feb-19,Good,,,10.0,80.0,Stranger,19.0,15.0,10.0
R_12EmSPHPM6gIyrM,19/02/19 23:43,19/02/19 23:46,26,Men,Bachelor,Upper middle class,Ciudad de México,Venustiano Carranza 09017,15-feb-19,Good,,,5.0,350.0,Stranger,18.0,30.0,2.0
R_12F4SZgjqQOJyUJ,30/08/19 17:53,30/08/19 18:00,27,Men,Bachelor,Lower class,Guanajuato,León 11020,23aug2019,Good,,,20.0,200.0,Friend,17.0,20.0,25.0
R_12F7FIKjnboTu3v,26/08/19 22:43,27/08/19 16:57,34,Men,Bachelor,Middle class,Nuevo León,Monterrey 19039,20aug2019,Good,,,28.0,4000.0,Acquaintance,18.0,1.0,28.0
R_12Gw7owOgqxjhEY,29/06/19 01:16,29/06/19 01:19,18,Women,Middle school,Middle class,Jalisco,Guadalajara 14039,01-jun-19,Good,,,,,,,,
R_12Gxx6ULGlGSIcS,08/03/19 11:26,08/03/19 11:30,47,Men,Graduate,Middle class,Hidalgo,Pachuca de Soto 13048,08-mar-19,Good,,,50.0,500.0,Stranger,45.0,15.0,50.0
R_12JZeSgNRWDILAG,22/03/19 16:25,22/03/19 16:27,39,Men,Bachelor,Lower middle class,Sonora,Caborca 26017,20-mar-19,Good,,,20.0,50.0,Acquaintance,15.0,20.0,50.0
R_12JrNrS5PZlBOUU,19/02/19 16:36,19/02/19 16:40,32,Men,Bachelor,Lower middle class,Ciudad de México,Benito Juárez 09014,05-feb-19,Good,,,30.0,1000.0,Stranger,29.0,3.0,30.0
R_12KCZDlpTZjyRLw,19/02/19 17:56,19/02/19 18:00,25,Other,Bachelor,Middle class,Puebla,San Andrés Cholula 21119,13-feb-19,Good,,,2.7,250.0,Acquaintance,21.0,20.0,
R_12KpOgeKJMUXrtL,29/06/19 00:18,29/06/19 00:22,23,Men,Middle school,Middle class,Chihuahua,Juárez 08037,05-jun-19,Good,,,25.0,200.0,Stranger,16.0,30.0,20.0
R_12L6lgtHLC62kDc,13/04/19 00:54,13/04/19 00:58,21,Men,High school,Lower middle class,México,Huehuetoca 15035,10apr2019,Good,,,5.0,50.0,Acquaintance,15.0,5.0,5.0
R_12Mvx1lt3dmhQTp,20/02/19 16:58,20/02/19 17:04,20,Men,Bachelor,Upper middle class,San Luis Potosí,San Luis Potosí 24028,15-feb-19,Good,,,9.0,50.0,Acquaintance,17.0,9.0,10.0
R_12PW7MNS2EmX4vp,19/02/19 16:58,19/02/19 17:01,29,Men,Bachelor,Middle class,Quintana Roo,Benito Juárez 23005,01-feb-19,Good,,,28.5,1000.0,Friend,17.0,8.0,30.0
R_12PucLm8jmHqwvU,15/04/19 21:02,15/04/19 21:05,23,Women,High school,Middle class,Aguascalientes,Aguascalientes 01001,,,,,,,,,,
R_12Q2lTbtdmLHa5w,01/07/19 16:27,01/07/19 16:32,30,Women,Bachelor,Upper middle class,Puebla,Puebla 21114,24-jun-19,Good,,,12.0,500.0,Stranger,18.0,20.0,6.0
R_12R8yXsULOCclnU,20/04/19 14:21,20/04/19 14:25,35,Women,High school,Middle class,México,Naucalpan de Juárez 15057,04apr2019,Good,,,25.0,60.0,Stranger,16.0,30.0,50.0
R_12RaIjzS9MIrocp,21/03/19 19:12,21/03/19 19:16,22,Men,High school,Lower middle class,Ciudad de México,Miguel Hidalgo 09016,20-mar-19,Bad,2.0,15.0,,,Acquaintance,13.0,1.0,7.0
R_12amMpovFwfzaN4,22/03/19 00:04,22/03/19 00:07,30,Women,Graduate,Middle class,Ciudad de México,Coyoacán 09003,01-mar-19,Bad,5.0,70.0,,,Stranger,25.0,0.0,5.0
R_12fdX7USreiA1Um,08/03/19 15:45,08/03/19 15:49,24,Men,High school,Lower class,Ciudad de México,Gustavo A. Madero 09005,27-feb-19,Good,,,54.0,500.0,Friend,14.0,20.0,28.0
R_12flenAeX4URBv0,22/03/19 12:15,22/03/19 12:19,26,Men,Bachelor,Middle class,Oaxaca,Oaxaca de Juárez 20067,13-mar-19,Good,,,,,,,,
R_12hDD7u4ZgoLu0s,22/02/19 15:07,22/02/19 15:10,27,Men,Graduate,Upper middle class,Quintana Roo,Solidaridad 23008,15-feb-19,Good,,,28.0,1400.0,Acquaintance,15.0,7.0,25.0
R_12hDvMAaRGLrzDW,20/02/19 17:41,20/02/19 19:15,30,Women,Bachelor,Upper middle class,Jalisco,Guadalajara 14039,02-feb-19,Bad,28.0,600.0,,,Stranger,24.0,30.0,28.0
R_12hcXnk6IxXFYyl,19/02/19 21:35,19/02/19 21:37,32,Men,Bachelor,Middle class,Ciudad de México,Benito Juárez 09014,,,,,,,,,,
R_12hux8Y5TBK6c3h,12/05/19 22:22,12/05/19 22:31,28,Men,Graduate,Middle class,Baja California,Ensenada 02001,14-nov-18,Good,,,,,,,,
